Date,Open,High,Low,Close,Adj Close,Volume
2014-01-17,1.634788,1.645603,1.631508,1.635296,1.635296,0
2014-01-20,1.642090,1.645251,1.639801,1.641794,1.641794,0
2014-01-21,1.642791,1.648342,1.640178,1.642414,1.642414,0
2014-01-22,1.647555,1.657990,1.645305,1.647528,1.647528,0
2014-01-23,1.656260,1.663340,1.655876,1.656205,1.656205,0
2014-01-24,1.663395,1.666639,1.648451,1.663478,1.663478,0
2014-01-27,1.649158,1.658677,1.648261,1.649049,1.649049,0
2014-01-28,1.657523,1.662124,1.654287,1.657495,1.657495,0
2014-01-29,1.656891,1.660550,1.652892,1.657001,1.657001,0
2014-01-30,1.655821,1.656589,1.644899,1.655903,1.655903,0
2014-01-31,1.649430,1.649947,1.643169,1.649838,1.649838,0
2014-02-03,1.643791,1.643791,1.632706,1.643791,1.643791,0
2014-02-04,1.631188,1.634494,1.625990,1.630896,1.630896,0
2014-02-05,1.633106,1.634307,1.625911,1.633053,1.633053,0
2014-02-06,1.632813,1.633800,1.627445,1.632706,1.632706,0
2014-02-07,1.632173,1.640016,1.631854,1.632200,1.632200,0
2014-02-10,1.641012,1.642872,1.638485,1.641039,1.641039,0
2014-02-11,1.640662,1.648207,1.639452,1.640877,1.640877,0
2014-02-12,1.644791,1.658485,1.643007,1.644872,1.644872,0
2014-02-13,1.660992,1.666889,1.660164,1.660992,1.660992,0
2014-02-14,1.665751,1.674257,1.664614,1.665723,1.665723,0
2014-02-17,1.676446,1.682114,1.671151,1.676137,1.676137,0
2014-02-18,1.672129,1.674060,1.665751,1.671989,1.671989,0
2014-02-19,1.668502,1.673500,1.664143,1.668613,1.668613,0
2014-02-20,1.667862,1.669588,1.663755,1.667584,1.667584,0
2014-02-21,1.666250,1.672493,1.663506,1.666167,1.666167,0
2014-02-24,1.663257,1.668001,1.658595,1.663340,1.663340,0
2014-02-25,1.665751,1.672017,1.665085,1.665695,1.665695,0
2014-02-26,1.667695,1.669811,1.662483,1.667723,1.667723,0
2014-02-27,1.666806,1.667890,1.662013,1.666833,1.666833,0
2014-02-28,1.669170,1.675940,1.667806,1.669198,1.669198,0
2014-03-03,1.673724,1.675210,1.670118,1.672912,1.672912,0
2014-03-04,1.666639,1.671514,1.664309,1.666833,1.666833,0
2014-03-05,1.666806,1.673948,1.665889,1.666694,1.666694,0
2014-03-06,1.671542,1.673668,1.669003,1.671905,1.671905,0
